0.66
,0.66
,0.66
,0.66
,0.66
,0.66
,0.66
,0.66
,0.66
,0.66
,0.66

0.6
,0.6
,0.6
,0.6
,0.6
,0.6
,0.6
,0.6
,0.6
,0.6
,0.6
0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
0.57
,0.57
,0.57
,0.57
,0.57
,0.57
,0.57
,0.57
,0.57
,0.57
,0.57

0.7
,0.7
,0.7
,0.7
,0.7
,0.7
,0.7
,0.7
,0.7
,0.7
,0.7

0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86

0.71
,0.71
,0.71
,0.72
,0.7
,0.71
,0.71
,0.66
,0.62
,0.62
,0.57

0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86
,0.86

0.71
,0.71
,0.71
,0.71
,0.72
,0.71
,0.71
,0.73
,0.71
,0.57
,0.66

