0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45

0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4
,0.4

0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45

0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.44
,0.44

0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45

0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45

0.44
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.45
,0.44

