0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94

0.88
,0.88
,0.88
,0.88
,0.88
,0.88
,0.88
,0.88
,0.88
,0.88
,0.88
0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95

0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94
,0.94

0.92
,0.91
,0.91
,0.91
,0.91
,0.91
,0.92
,0.92
,0.92
,0.92
,0.92

0.97
,0.96
,0.95
,0.97
,0.97
,0.96
,0.96
,0.96
,0.95
,0.94
,0.91

0.91
,0.91
,0.91
,0.91
,0.91
,0.91
,0.91
,0.91
,0.91
,0.91
,0.91

0.94
,0.94
,0.94
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.94
,0.94

