0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97

0.92
,0.92
,0.92
,0.92
,0.92
,0.92
,0.92
,0.92
,0.92
,0.92
,0.92
0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.97
0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96

0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96

0.95
,0.95
,0.92
,0.95
,0.92
,0.95
,0.92
,0.92
,0.92
,0.92
,0.92

0.97
,0.97
,0.97
,0.97
,0.97
,0.97
,0.98
,0.98
,0.97
,0.96
,0.94

0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95
,0.95

0.97
,0.96
,0.97
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96
,0.96

