 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76
 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66
 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85
 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85
 0.71, 0.71, 0.71, 0.71, 0.71, 0.71, 0.71, 0.71, 0.71, 0.71, 0.71
 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7
 0.85, 0.85, 0.85, 0.83, 0.83, 0.83, 0.81, 0.81, 0.81, 0.83, 0.83
 0.78, 0.78, 0.77, 0.78, 0.78, 0.78, 0.78, 0.78, 0.74, 0.77, 0.72
 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83
 0.76, 0.78, 0.79, 0.78, 0.79, 0.77, 0.78, 0.79, 0.78, 0.76, 0.74
